 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    3.5140    2.0000   60.3836   31.3942    6.0780    2.3059    4.1298   24.5779  1.0000E-10     -0.3497  1.8117E-14
    3.5140    2.0000   60.3836   31.0803    6.0780    2.3058    4.1299   24.5781  1.0000E-10     -0.3497  1.8997E-14
    3.5140    2.0000   60.3836   30.7695    6.0780    2.3057    4.1299   24.5783  1.0000E-10     -0.3497  1.9963E-14
    3.5140    2.0000   60.3836   30.4618    6.0780    2.3054    4.1301   24.5785  1.0000E-10     -0.3497  2.1028E-14
    3.5140    2.0000   60.3836   30.1572    6.0780    2.3050    4.1302   24.5787  1.0000E-10     -0.3497  2.2207E-14
    3.5140    2.0000   60.3836   29.8556    6.0779    2.3046    4.1305   24.5790  1.0000E-10     -0.3497  2.3519E-14
    3.5140    2.0000   60.3836   29.5570    6.0779    2.3040    4.1307   24.5792  1.0000E-10     -0.3497  2.4986E-14
    3.5141    2.0000   60.3836   29.2615    6.0779    2.3033    4.1311   24.5794  1.0000E-10     -0.3497  2.6637E-14
    3.5141    2.0000   60.3836   28.9689    6.0779    2.3025    4.1315   24.5796  1.0000E-10     -0.3497  2.8508E-14
    3.5141    2.0000   60.3836   28.6792    6.0779    2.3015    4.1320   24.5798  1.0000E-10     -0.3497  3.0643E-14
    3.5141    2.0000   60.3836   28.3924    6.0779    2.3003    4.1326   24.5800  1.0000E-10     -0.3497  3.3102E-14
    3.5141    2.0000   60.3836   28.1085    6.0779    2.2989    4.1333   24.5802  1.0000E-10     -0.3497  3.5962E-14
    3.5141    2.0000   60.3836   27.8274    6.0779    2.2973    4.1341   24.5805  1.0000E-10     -0.3497  3.9325E-14
    3.5141    2.0000   60.3836   27.5491    6.0779    2.2955    4.1350   24.5807  1.0000E-10     -0.3497  4.3333E-14
    3.5141    2.0000   60.3836   27.2736    6.0778    2.2933    4.1361   24.5809  1.0000E-10     -0.3497  4.8183E-14
    3.5141    2.0000   60.3836   27.0009    6.0778    2.2907    4.1374   24.5811  1.0000E-10     -0.3497  5.4166E-14
    3.5141    2.0000   60.3836   26.7309    6.0778    2.2876    4.1389   24.5814  1.0000E-10     -0.3497  6.1713E-14
    3.5141    2.0000   60.3836   26.4636    6.0778    2.2839    4.1408   24.5816  1.0000E-10     -0.3497  7.1511E-14
    3.5141    2.0000   60.3836   26.1989    6.0778    2.2792    4.1431   24.5819  1.0000E-10     -0.3497  8.4710E-14
    3.5141    2.0000   60.3836   25.9369    6.0778    2.2733    4.1461   24.5821  1.0000E-10     -0.3497  1.0340E-13
    3.5141    2.0000   60.3836   25.6776    6.0778    2.2652    4.1501   24.5824  1.0000E-10     -0.3497  1.3183E-13
    3.5141    2.0000   60.3836   25.4208    6.0777    2.2528    4.1563   24.5827  1.0000E-10     -0.3497  1.8035E-13
    3.5141    2.0000   60.3836   25.1666    6.0776    2.2274    4.1690   24.5831  1.0000E-10     -0.3497  2.8400E-13
    3.5141    2.0000   60.3836   24.9149    6.0772    2.1261    4.2195   24.5836  1.0000E-10     -0.3497  7.1633E-13
    3.5141    2.0000   60.3836   24.6658    6.0465    0.6203    4.9648   24.5868  1.0000E-10     -0.3497  7.1285E-12
    3.5141    2.0000   60.3836   24.6624    6.0380    0.5386    5.0035   24.5905  1.0000E-10     -0.3497  7.1682E-12
    3.5142    2.0000   60.3836   24.6588    6.0256    0.4587    5.0403   24.5944  1.0000E-10     -0.3497  7.2018E-12
    3.5142    2.0000   60.3836   24.6549    6.0059    0.3812    5.0742   24.5990  1.0000E-10     -0.3497  7.2310E-12
    3.5143    2.0000   60.3836   24.6503    5.9712    0.3073    5.1024   24.6047  1.0000E-10     -0.3497  7.2577E-12
    3.5143    2.0000   60.3836   24.6439    5.8985    0.2400    5.1179   24.6137  1.0000E-10     -0.3497  7.2863E-12
    3.5145    7.0000   24.6303   24.6303    5.8282    0.2106    5.1150    0.0000  2.4630E+01      3.5145  1.4474E-11
    3.5234    7.0000   24.3840   24.3840    5.8260    0.2089    5.1153    0.0000  2.4384E+01      3.5145  1.4710E-11
    3.5323    7.0000   24.1401   24.1401    5.8237    0.2073    5.1156    0.0000  2.4140E+01      3.5145  1.4950E-11
    3.5412    7.0000   23.8987   23.8987    5.8213    0.2056    5.1158    0.0000  2.3899E+01      3.5144  1.5192E-11
    3.5501    7.0000   23.6597   23.6597    5.8188    0.2039    5.1160    0.0000  2.3660E+01      3.5142  1.5438E-11
    3.5589    7.0000   23.4232   23.4232    5.8162    0.2023    5.1162    0.0000  2.3423E+01      3.5140  1.5687E-11
    3.5678    7.0000   23.1889   23.1889    5.8135    0.2006    5.1163    0.0000  2.3189E+01      3.5138  1.5940E-11
    3.5766    7.0000   22.9570   22.9570    5.8108    0.1990    5.1165    0.0000  2.2957E+01      3.5135  1.6196E-11
    3.5854    7.0000   22.7275   22.7275    5.8079    0.1974    5.1166    0.0000  2.2727E+01      3.5132  1.6455E-11
    3.5942    7.0000   22.5002   22.5002    5.8050    0.1958    5.1166    0.0000  2.2500E+01      3.5128  1.6718E-11
    3.6031    7.0000   22.2752   22.2752    5.8020    0.1942    5.1167    0.0000  2.2275E+01      3.5123  1.6984E-11
    3.6119    7.0000   22.0524   22.0524    5.7990    0.1926    5.1167    0.0000  2.2052E+01      3.5118  1.7254E-11
    3.6207    7.0000   21.8319   21.8319    5.7959    0.1910    5.1167    0.0000  2.1832E+01      3.5113  1.7528E-11
    3.6296    7.0000   21.6136   21.6136    5.7927    0.1894    5.1167    0.0000  2.1614E+01      3.5107  1.7805E-11
    3.6384    7.0000   21.3975   21.3975    5.7894    0.1878    5.1167    0.0000  2.1397E+01      3.5100  1.8087E-11
    3.6473    7.0000   21.1835   21.1835    5.7861    0.1863    5.1166    0.0000  2.1183E+01      3.5093  1.8373E-11
    3.6561    7.0000   20.9716   20.9716    5.7827    0.1847    5.1166    0.0000  2.0972E+01      3.5086  1.8663E-11
    3.6650    7.0000   20.7619   20.7619    5.7792    0.1831    5.1165    0.0000  2.0762E+01      3.5078  1.8958E-11
    3.6739    7.0000   20.5543   20.5543    5.7757    0.1816    5.1164    0.0000  2.0554E+01      3.5069  1.9257E-11
    3.6828    7.0000   20.3488   20.3488    5.7721    0.1800    5.1163    0.0000  2.0349E+01      3.5060  1.9562E-11
    3.6918    7.0000   20.1453   20.1453    5.7685    0.1784    5.1162    0.0000  2.0145E+01      3.5050  1.9873E-11
    3.7007    7.0000   19.9438   19.9438    5.7648    0.1768    5.1161    0.0000  1.9944E+01      3.5040  2.0190E-11
    3.7097    7.0000   19.7444   19.7444    5.7611    0.1752    5.1159    0.0000  1.9744E+01      3.5029  2.0515E-11
    3.7187    7.0000   19.5469   19.5469    5.7573    0.1735    5.1158    0.0000  1.9547E+01      3.5017  2.0846E-11
    3.7278    7.0000   19.3515   19.3515    5.7534    0.1719    5.1157    0.0000  1.9351E+01      3.5005  2.1187E-11
    3.7369    7.0000   19.1580   19.1580    5.7495    0.1702    5.1156    0.0000  1.9158E+01      3.4992  2.1537E-11
    3.7460    7.0000   18.9664   18.9664    5.7455    0.1684    5.1155    0.0000  1.8966E+01      3.4979  2.1897E-11
    3.7551    7.0000   18.7767   18.7767    5.7415    0.1666    5.1154    0.0000  1.8777E+01      3.4965  2.2270E-11
    3.7643    7.0000   18.5889   18.5889    5.7375    0.1647    5.1153    0.0000  1.8589E+01      3.4951  2.2656E-11
    3.7735    7.0000   18.4031   18.4031    5.7334    0.1627    5.1153    0.0000  1.8403E+01      3.4936  2.3057E-11
    3.7827    7.0000   18.2190   18.2190    5.7292    0.1606    5.1153    0.0000  1.8219E+01      3.4920  2.3476E-11
    3.7920    7.0000   18.0368   18.0368    5.7250    0.1585    5.1153    0.0000  1.8037E+01      3.4903  2.3915E-11
    3.8013    7.0000   17.8565   17.8565    5.7208    0.1561    5.1154    0.0000  1.7856E+01      3.4886  2.4376E-11
    3.8107    7.0000   17.6779   17.6779    5.7165    0.1537    5.1155    0.0000  1.7678E+01      3.4869  2.4863E-11
    3.8201    7.0000   17.5011   17.5011    5.7121    0.1511    5.1158    0.0000  1.7501E+01      3.4850  2.5380E-11
    3.8296    7.0000   17.3261   17.3261    5.7077    0.1483    5.1161    0.0000  1.7326E+01      3.4831  2.5930E-11
    3.8391    7.0000   17.1529   17.1529    5.7033    0.1452    5.1165    0.0000  1.7153E+01      3.4811  2.6518E-11
    3.8486    7.0000   16.9813   16.9813    5.6988    0.1420    5.1170    0.0000  1.6981E+01      3.4791  2.7151E-11
    3.8582    7.0000   16.8115   16.8115    5.6943    0.1384    5.1176    0.0000  1.6812E+01      3.4770  2.7835E-11
    3.8679    7.0000   16.6434   16.6434    5.6898    0.1345    5.1184    0.0000  1.6643E+01      3.4748  2.8578E-11
    3.8776    7.0000   16.4770   16.4770    5.6852    0.1303    5.1194    0.0000  1.6477E+01      3.4725  2.9389E-11
    3.8874    7.0000   16.3122   16.3122    5.6805    0.1257    5.1206    0.0000  1.6312E+01      3.4702  3.0279E-11
    3.8972    7.0000   16.1491   16.1491    5.6759    0.1206    5.1219    0.0000  1.6149E+01      3.4678  3.1261E-11
    3.9071    7.0000   15.9876   15.9876    5.6711    0.1150    5.1236    0.0000  1.5988E+01      3.4653  3.2352E-11
    3.9171    7.0000   15.8277   15.8277    5.6664    0.1088    5.1255    0.0000  1.5828E+01      3.4627  3.3569E-11
    3.9271    7.0000   15.6694   15.6694    5.6616    0.1020    5.1277    0.0000  1.5669E+01      3.4601  3.4937E-11
    3.9372    7.0000   15.5127   15.5127    5.6567    0.0944    5.1302    0.0000  1.5513E+01      3.4573  3.6485E-11
    3.9473    7.0000   15.3576   15.3576    5.6519    0.0860    5.1332    0.0000  1.5358E+01      3.4545  3.8248E-11
    3.9477    7.0000   15.3521   15.3521    5.6517    0.0857    5.1333    0.0000  1.5352E+01      3.4544  3.8316E-11
    3.9477    7.0000   15.3521   15.3521    5.6517    0.0857    5.1333    0.0000  1.5352E+01      3.4544  3.8316E-11
    3.9477    8.0000   15.3521   15.3521    5.6517    0.0857    5.1333   11.2620  1.0000E-10      3.4544  2.0594E-10
    3.9485    8.0000   15.3521   15.3403    5.6571    0.0868    5.1341   11.2903  1.0000E-10      3.4544  2.0754E-10
    3.9493    8.0000   15.3521   15.3284    5.6626    0.0880    5.1349   11.3187  1.0000E-10      3.4544  2.0918E-10
    3.9500    8.0000   15.3521   15.3164    5.6681    0.0891    5.1357   11.3472  1.0000E-10      3.4544  2.1086E-10
    3.9508    8.0000   15.3521   15.3043    5.6735    0.0902    5.1365   11.3757  1.0000E-10      3.4544  2.1259E-10
    3.9516    8.0000   15.3521   15.2921    5.6790    0.0914    5.1373   11.4043  1.0000E-10      3.4544  2.1436E-10
    3.9523    8.0000   15.3521   15.2798    5.6844    0.0925    5.1381   11.4330  1.0000E-10      3.4544  2.1618E-10
    3.9530    8.0000   15.3521   15.2674    5.6899    0.0937    5.1389   11.4618  1.0000E-10      3.4544  2.1805E-10
    3.9538    8.0000   15.3521   15.2548    5.6953    0.0948    5.1397   11.4906  1.0000E-10      3.4544  2.1997E-10
    3.9544   14.0000   15.3521   15.2432  -10.0000   -4.1896    3.3580   15.2432  1.0000E-10      3.9544  2.0000E+08
